IST-2.jpg    	          0.375370101
IST-4.jpg    	          2.439529600
IST-6.jpg    	          3.640433201
IST-8.jpg    	          3.826685801
IST-10.jpg    	          2.480649200
IST-12.jpg    	          3.037032159
IST-14.jpg    	          3.378359521
IST-18.jpg    	          2.222385381
IST-16.jpg    	          3.463770403
IST-20.jpg    	          1.920189224
IST-22.jpg    	          1.937260483
IST-24.jpg    	          1.872874234
IST-26.jpg    	          1.992831830
IST-28.jpg    	          1.723112739
IST-30.jpg    	          1.922285933
IST-1.jpg    	         39.505870532
IST-3.jpg    	         41.362655626
IST-32.jpg    	          2.610403494
IST-5.jpg    	         51.391083567
IST-9.jpg    	         50.508222045
IST-7.jpg    	         53.454358754
IST-13.jpg    	         58.649626311
IST-15.jpg    	         59.018833470
IST-23.jpg    	         51.869872943
IST-25.jpg    	         51.430920559
IST-19.jpg    	         54.089442847
IST-21.jpg    	         52.765815464
IST-17.jpg    	         59.382137081
IST-31.jpg    	         47.924554514
IST-29.jpg    	         50.891114717
IST-11.jpg    	         74.262173661
IST-27.jpg    	         64.647892066
total 	16          80.559205654
thread_0 	2          42.249996726
thread_1 	2          66.810777478
thread_2 	1          41.659632227
thread_3 	6          67.594096166
thread_4 	1          51.931677568
thread_5 	2          66.074524090
thread_6 	1          54.587329655
thread_7 	4          67.910670962
thread_8 	1          53.747876546
thread_9 	2          66.287219586
thread_10 	1          79.544720063
thread_11 	3          80.437302954
thread_12 	1          64.560011713
thread_13 	2          65.933340392
thread_14 	1          65.533030498
thread_15 	2          66.008592690
