IST-2.jpg    	          1.336988703
IST-4.jpg    	          1.602534891
IST-6.jpg    	          1.772356876
IST-8.jpg    	          1.778711575
IST-10.jpg    	          2.134730771
IST-12.jpg    	          3.034068459
IST-14.jpg    	          2.789996761
IST-16.jpg    	          2.968333659
IST-18.jpg    	          3.288149347
IST-20.jpg    	          2.336311557
IST-22.jpg    	          2.597038552
IST-24.jpg    	          1.985772563
IST-26.jpg    	          2.798869349
IST-32.jpg    	          4.063787735
IST-28.jpg    	          5.311393417
IST-30.jpg    	          5.191409717
IST-1.jpg    	         38.227984203
IST-5.jpg    	         42.673223658
IST-3.jpg    	         47.855395642
IST-9.jpg    	         52.619748448
IST-7.jpg    	         53.615551715
IST-13.jpg    	         56.045320956
IST-15.jpg    	         56.958769660
IST-17.jpg    	         55.478979681
IST-25.jpg    	         49.717345282
IST-21.jpg    	         52.285001946
IST-23.jpg    	         51.466477861
IST-19.jpg    	         52.948929437
IST-29.jpg    	         46.446984461
IST-31.jpg    	         48.922604396
IST-11.jpg    	         74.484341072
IST-27.jpg    	         61.860781911
total 	32          80.239266055
thread_0 	1          38.597850304
thread_1 	1          18.817355432
thread_2 	1          48.848049545
thread_3 	1          18.816493132
thread_4 	1          44.427398362
thread_5 	1          18.816178032
thread_6 	1          56.118231611
thread_7 	2          22.881167867
thread_8 	1          55.519724039
thread_9 	1          18.815758332
thread_10 	1          79.176301338
thread_11 	1          18.814232932
thread_12 	1          61.429435512
thread_13 	1          18.813588432
thread_14 	1          63.251490404
thread_15 	1          18.813420532
thread_16 	1          63.314857704
thread_17 	1          18.812130732
thread_18 	1          64.602847299
thread_19 	1          18.811579132
thread_20 	1          64.352529600
thread_21 	1          18.811367532
thread_22 	1          64.361531700
thread_23 	1          18.811062032
thread_24 	1          63.645081602
thread_25 	1          18.809650832
thread_26 	1          79.922736254
thread_27 	1          23.435594459
thread_28 	1          64.968130297
thread_29 	1          23.756716953
thread_30 	1          67.716127528
thread_31 	0          18.808813632
