block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,00:33,0.0,33.0,0.55,Justiça/Segurança,No speech,Justiça/Segurança,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,,,,spinumviva pgr responde | imigrantes saldo de 62 m | 12 uc | imigrantes | saldo de 62 m,,1,medium
3,01:12,01:15,72.0,75.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,12.0,first_speech_window,,,,,0 37 | 1 63 3 28 | 2 77 | 3 9 | alexander | 4 05 0 37 1 63 2 96 0 43 | 91 39 | 27 22 13 w,"Boanóito, o procurador geral da República Garante, que não foram ultrapassados",3,medium
4,01:21,01:27,81.0,87.0,0.1,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,21.0,first_speech_window,,,,,48 28 68 n | 19 59 | qui 18 | telejornal,"Boanóito, o procurador geral da República Garante, que não foram ultrapassados",4,medium
5,01:27,01:57,87.0,117.0,0.5,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:00,27.0,first_speech_window,,,,,19 59 | qui 18 | telejornal | joão adelino faria | rtp | tele jornal | qui 18 19 59 | chresponde a montonoro,"Boanóito, o procurador geral da República Garante, que não foram ultrapassados os limites na averiguação preventiva, ao caso o sepino-viva, uma resposta às críticas que foram deixadas pro Lisbon de Negro, a madeu-gué rassegura que também não teve qualquer intervenção na decisão final, porque pediu excusa. Já o diretor do Diciá passa segura que não ouve qualquer inversão do ano de prova, tal como acusou o primeiro mês.",5,medium
6,01:57,04:06,117.0,246.0,2.15,Justiça/Segurança,Other/Unknown,Justiça/Segurança,ocr_only,True,Speech theme is unknown; OCR provides the usable theme.; Low speech coverage inside OCR block.,0.023,1.0,1,weak_candidate_no_persistence,low,02:30,33.0,4,"new_body_terms, lexical_shift_from_baseline, body_zone_changed",False,,,,Justiça/Segurança,,,,pgr di | qui 18 19 59 | tele jornal | pgr diz que não teve intervenção na decisão final | caso spinumviva | 19 59 | qui 18 | procurador geral da república,"os limites na averiguação preventiva, ao caso o sepino-viva, uma resposta às críticas que foram deixadas pro Lisbon de Negro, a madeu-gué rassegura que também não teve qualquer intervenção na decisão final, porque pediu excusa. Já o diretor do Diciá passa segura que não ouve qualquer inversão do ano de prova, tal como acusou o primeiro mês.",6,medium
7,04:06,04:15,246.0,255.0,0.15,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,qui 18 20 01 | tele jornal | editor de imagem | luís lobo | matilde gomes | repórter de imagem | jornalista | mariana flor,,7,medium
8,04:15,04:39,255.0,279.0,0.4,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,qui 18 20 02 | tele jornal | telejornal,,8,medium
9,04:39,05:36,279.0,336.0,0.95,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,weak_candidate_no_persistence,low,05:12,33.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",False,,,,,,,,arquivamento spinumviva | qui 18 20 02 | telejornal | tele jornal | presiden | tele j o rnal | presidente recusa comentar críticas de montenegro | telej ornal,,9,medium
10,05:36,06:33,336.0,393.0,0.95,Justiça/Segurança,Internacional,Justiça/Segurança,low_conflict,True,OCR and speech themes conflict.; Low speech coverage inside OCR block.,0.053,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,Internacional,,,duração depende também da colaboração da pessoa | averiguação preventiva | 20 03 | portuga | qui 18 | tele jornal | rasi | sie,"Os líderes europeus estão reunidos em Bruxelas para tentar enxergar um acordo considerado histórico em causa. Está sobretudo essa possibilidade de ser usados os ativos russos congelados para manter o apoio ao crânio. Esses ativos são no essencial reservas do Banco Central da Rússia, que estão agora retidas na União Europeia, e isso aconteceu depois da invasão da Ucrania. Então, o valor total estão avaliados em cerca de 200",10,high
11,06:33,07:45,393.0,465.0,1.2,Other/Unknown,Internacional,Internacional,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.583,3,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,06:30,3.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high, gap_high",,"Internacional, Governo/Partidos",,,13 21 | qui 18 20 04 | tele jornal | 20 04 | qui 18 | telejornal | qui 18 20 05 | 20 05,"Os líderes europeus estão reunidos em Bruxelas para tentar enxergar um acordo considerado histórico em causa. Está sobretudo essa possibilidade de ser usados os ativos russos congelados para manter o apoio ao crânio. Esses ativos são no essencial reservas do Banco Central da Rússia, que estão agora retidas na União Europeia, e isso aconteceu depois da invasão da Ucrania. Então, o valor total estão avaliados em cerca de 200 ideias, mil milhões de euros. Até agora, só os russos de estes ativos financeiros têm sido usados para apoiar que houve vários países estão ainda contra este plano. Entre eles está a Abelze. onde se encontra de positada a grande maioria dos ativos, são cerca de 185 mil mil...",11,medium
