block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
1,00:00,00:03,0.0,3.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,a televisão feita por si,,1
2,00:03,00:06,3.0,6.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Economia/Proteção Social,,,,jornal nacional | 0 754 | jornal nagional | não ao retrocesso e | 19 53 | salário direitos serviços públicos | o pacote labor,,2
3,00:06,01:12,6.0,72.0,1.1,Transportes/Mobilidade,No speech,Transportes/Mobilidade,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,late_body_ocr_change,low,,51.0,3,"new_body_terms, lexical_shift_from_baseline",False,,,,"Greves/Trabalho, Transportes/Mobilidade",,,,greve geral o que está em causa | tvi 19 53 | tv 19 53 | melhor servico naci | 19 53 | ww stal p | tvi | w stal pt,,"3, 4"
4,01:12,02:03,72.0,123.0,0.85,Justiça/Segurança,Saúde,Justiça/Segurança,low_conflict,True,OCR and speech themes conflict.; Low speech coverage inside OCR block.,0.059,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,Saúde,,,19 55 | exclusivo tvi | jornal nacional | 411 | igas confirma investigação ao dermatologista do st m | tvi 19 55 | igas confirma investigação ao dermatologista do st mathrm a m mathrm a | tvi,"Os inspeitos afirmam ainda que o médico fez cirurgias aos papos pais, algo que a TVI já tinha averiguado. Felo sem qualquer referência são, o que resultou num gasto de superior a 8.500 euros para o SNS, dos quais 5.500 apenas numa manhã de um sábado, ele foram pagos diretamente. Tal como a TV notícia, Miguel Palhaum ganhou 400 mil euros em apenas 10 sábados.",5
5,02:03,02:36,123.0,156.0,0.55,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.818,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,02:00,3.0,first_speech_window,,Saúde,,,19 56 | jornal nacional | tvi 19 56,"Os inspeitos afirmam ainda que o médico fez cirurgias aos papos pais, algo que a TVI já tinha averiguado. Felo sem qualquer referência são, o que resultou num gasto de superior a 8.500 euros para o SNS, dos quais 5.500 apenas numa manhã de um sábado, ele foram pagos diretamente. Tal como a TV notícia, Miguel Palhaum ganhou 400 mil euros em apenas 10 sábados.",6
6,02:36,04:27,156.0,267.0,1.85,Transportes/Mobilidade,Transportes/Mobilidade,Transportes/Mobilidade,high,False,,0.784,0.69,3,late_body_ocr_change,low,,54.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,03:00,24.0,"theme_changed, lexical_change_high, semantic_change_high","Transportes/Mobilidade, Justiça/Segurança, Educação, Internacional, Desporto","Educação, Transportes/Mobilidade, Justiça/Segurança",,,19 56 | the rest | tragédia na calçada da glória | tvi | tvi 19 56 | 19 57 | macroam | jornal nacional,"O Instituto de Soldadura e Qualidade realizou várias inspeções magnéticas aos cabos do elevador da glória, com sensores capazes de detectar anomalias invisíveis ao aluno, como fios partidos e bolhas de ar do interior. O primeiro cabo com núcleo em fibra passou nesse Zaman fevereiro de 2023, três meses depois de entrada em serviço. Nessa altura, o ESC recomendou a carris segunda-expeção no prazo máximo de um ano. Em reação a notícia do Semanário, na serem do Sol, a carrisa informa agora que iria repetir os testes e o Etromagnéticos, no mês seguinte ao acidente. Estava prevista a nova inspção para o 8 de 2025. Ou seja, o primeiro cabo de fibra foi inspecionado ao fim de três","7, 8, 9, 10, 11, 12"
7,04:27,04:30,267.0,270.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,04:00,27.0,"theme_changed, lexical_change_high",,Justiça/Segurança,,,19 58 | ammanamanamana | tvi 19 58 | marine,"Em reação a notícia do Semanário, na serem do Sol, a carrisa informa agora que iria repetir os testes e o Etromagnéticos, no mês seguinte ao acidente. Estava prevista a nova inspção para o 8 de 2025. Ou seja, o primeiro cabo de fibra foi inspecionado ao fim de três",13
8,04:30,05:33,270.0,333.0,1.05,Transportes/Mobilidade,Economia/Proteção Social,Transportes/Mobilidade,low_conflict,True,OCR and speech themes conflict.,0.952,0.5,2,candidate_detected,high,04:54,24.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,04:00,30.0,"theme_changed, lexical_change_high",Transportes/Mobilidade,"Justiça/Segurança, Economia/Proteção Social",,,tvi 19 58 | carris falha teste magnético | 19 58 | tvi carris falha teste magnético | jornal nacional | cabo devia ter sido inspecionado até fevereiro de 2024 | 19 59 | tvi,"meses, o do acidente só seria, ao fim, de um ano de serviço. A tragédia, antes de possuir um mês, ficar ouvida, será que teria sido evitada? em expressão também poderia feiar por falta de acesso às extremidades do cabo, que estão tudo indica na origem da tragédia. Especionar a pinha de ligação do cabo a carruagem implicaria desmontar uma série de peças e imobilizar os ilvadores todos os meses, como mandam as normas europeias nunca cumpridas para empresas.",14
9,05:33,09:27,333.0,567.0,3.9,Greves/Trabalho,Governo/Partidos,Greves/Trabalho,low_conflict,True,OCR and speech themes conflict.,0.756,0.492,6,late_body_ocr_change,low,,42.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,05:00,33.0,"theme_changed, semantic_change_high","Greves/Trabalho, Governo/Partidos","Governo/Partidos, Greves/Trabalho",,,greve geral | 19 59 | tvi 19 59 | gram | paralisação é a primeira em 12 anos | 20 00 | nacional | jornal nacional,"A proposta vende de um governo também ele, diferente de há 12 anos, pelo menos no que toca aos protagonistas, porque a cor política essa voltou a ser laranja. Pedro Motaçoar de lugar, Maria Rosário Palma Ramálio na pasta do trabalho, e no papel de passo escuelo está agora a Luís Montenegro, que usa as organizações sindicais de estar olhado para interesses partidários. Não consigo deslumbrar outra razão para esta posição das centrais sindicais, mas acho que não seja olhar para interesses que, do meu ponto de vista, não deviam ser os profeilecentes que é o interesse dos partidos que estão sobretudo ligados a gestão das duas centrais sindicais. Com um sem acordo com os parceiros sociais, a mini...",15
10,09:27,09:30,567.0,570.0,0.05,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Governo/Partidos, Greves/Trabalho",,,20 03 | aciona | jornal | trans | thansi | tvi 20 03,"de retrocesse, posto trabalhadores no plano daquilo que é precaria da dos horários de trabalho, na questão da contratação coletiva, a facilitação também dos sedimentos. Em causa está a chamada flexibilização do código do trabalho, a expressão criada pelo governo para falar da facilitação dos despedimentos e não só. Por exemplo, o escutivo quer alargar os prazos dos contratos de termo certo, de dois para três anos e de termo incerto, de quatro para cinco anos, bem como alterar os prazos do período experimental e",16
11,09:30,09:39,570.0,579.0,0.15,Other/Unknown,Greves/Trabalho,Greves/Trabalho,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,Greves/Trabalho,,,tvi 20 03 | 20 03 | tvi,"ainda redefinir o direito à grave através do alargamento dos setores sujeitos a serviços mínimos. Portim, já de um princípio, em que os serviços e mil imissões abusivos, muitas vezes significam serviços máximos, colocando mais trabalhadores do que o dia normal de trabalho e o que faz o pacote de laboral é largar o conceito, a concessão das necessidades importeríveis, ou abacimento alimentar, a questão da portarívia e gelência, ou seto social, numa dimensão de subverter o exercício desse direito e retirar a expressão à",17
12,09:39,10:36,579.0,636.0,0.95,Governo/Partidos,Governo/Partidos,Governo/Partidos,high,False,,1.0,0.526,3,late_body_ocr_change,low,,54.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",False,,,,"Greves/Trabalho, Governo/Partidos","Greves/Trabalho, Governo/Partidos, Justiça/Segurança",,,tvi 20 03 | greve geral | 20 03 | jornal nacional | tvi 20 04 | centrais sindicais insurgem se contra reforma laboral | filipe marques i comissão executiva da cgtp | 20 04,"ainda redefinir o direito à grave através do alargamento dos setores sujeitos a serviços mínimos. Portim, já de um princípio, em que os serviços e mil imissões abusivos, muitas vezes significam serviços máximos, colocando mais trabalhadores do que o dia normal de trabalho e o que faz o pacote de laboral é largar o conceito, a concessão das necessidades importeríveis, ou abacimento alimentar, a questão da portarívia e gelência, ou seto social, numa dimensão de subverter o exercício desse direito e retirar a expressão à luta dos trabalhadores. As medidas com mais polêmica e atenção mediática têm sido as cristão ligadas à licença de emimentação e perda por doutos estacionais, a oposição de extr...",18
13,10:36,14:33,636.0,873.0,3.95,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,0.481,0.474,4,late_body_ocr_change,low,,36.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,10:30,6.0,"theme_changed, semantic_change_high",Justiça/Segurança,"Governo/Partidos, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",,,20 04 | jornal nacional | caso odair mo | caso odair moniz | tvi 20 04 | tvi 20 05 | testemunhas dizem oue vítima não tinha nada nas mãos | testemunhas dizem que vítima não tinha nada nas mãos,"lei para evotação no Parlamento. A defesa do agente da PSP que matou ou da irmonísima, cova da mora, estaca da vez mais comprometida, a intribunal sucede em sete polimentos de destemunhas que negam que evitiam as cvestes altava e compunhalam-a-meu. Até agora, só o agente que acompanhava o orgulho na cena do crime mantiva até a desfesa, o que dá cada vez mais força e potes da faca ter sido plantada junto ao corpo, apenas após amor. propriedade da Ducapesca, empresa do setor em presarial do Estado e o contrato de construção de utilização por 40 anos a uma empresa privada. Foram vários usos detalhes, a chamar a atenção das autoridades entre eles a construção das 9 piscinas que não passaram no p...","19, 20, 21, 22, 23"
14,14:33,20:24,873.0,1224.0,5.85,Eleições/Campanha,Eleições/Campanha,Eleições/Campanha,high,False,,0.684,0.375,8,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,14:00,33.0,"new_theme_after_unknown, lexical_change_high","Eleições/Campanha, Ambiente/Meteorologia/Proteção Civil","Cultura, Eleições/Campanha, Governo/Partidos","Henrique Gouveia e Melo, Luís Marques Mendes, António José Seguro, Jorge Pinto, Catarina Martins, Cotrim Figueiredo, António Filipe, André Ventura",,tvi 20 08 | um gesto que pode salvar vidas | tvi um gesto que pode salvar vidas | 20 09 | jornal nacional | tvi 20 09 | tvi condicionamento de marcelo | condicionamento de marcelo,"É um não-categórico de Goveimelo à notícia da Agência Luz, a sobre as razões que levaram a avançar com a candidatura ablém. A notícia em causa diz que Goveimelo revela que foi tentativa de Marcelo para atravar, que levou a candidatar-se. Na base desta decisão, traçado um artigo do Smanário Espresso do ano passado, que dava conta de uma algada de exigência de investimento na marinha para aceitar manter-se como chefe de estado maior da armada. A notícia da Luz há tempo por base um livro que será lançado esta semana. Eu disse, foi assertivo que me fez definir o rome, porque quando eu lhi fiquei mesmo da nada, ela entendeu que aquela notícia era um recado. Não tem nada a senha de Portugal e, às ...","24, 25, 26"
15,20:24,23:57,1224.0,1437.0,3.55,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,0.972,0.725,7,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,20:30,6.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high, entities_changed, gap_high",Justiça/Segurança,"Eleições/Campanha, Governo/Partidos, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",,André Ventura,tvi 20 14 | 20 14 | jornal nacional | operação marquês | 20 15 | tvi 20 15 | sócrates quer que tribunal suspenda o julgamento | operação marquês sócrates oued out,"e também a polêmica com os cartazes do candidato André Ventura. No outro caso de grande intensidade mediática, José Sócrates diz que o Tribunal tem de suspender imediatamente o julgamento do operação Marquês. Depois de ter ficado sem o advogado que o representou nos últimos 11 anos, o antigo Primeiro Ministro peseta pelo por carta à juída, a juíza que presida ao coletivo Sócrates pede a magistrada Susana Séca, que ponha fina aos patáculos degradantes de ver um advogado oficioso que não escolhiu e a quem não reconhece legitimidade é representá-lo o Tribunal. É uma situação que muito me desagrada e que insisto deve cessar imediatamente. Se tenho vinte dias para escolher novo advogado. Sócrates...",27
16,23:57,25:45,1437.0,1545.0,1.8,Internacional,Internacional,Internacional,high,False,,1.0,0.417,5,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,24:00,3.0,"new_theme_after_unknown, lexical_change_high, volume_change_high",Internacional,"Justiça/Segurança, Internacional, Economia/Proteção Social",,,tvi 20 18 | palestinianos na mira de israel | 20 18 | jornal nacional | nacional | soldados dizem disparar à vontade contra civis | 20 19 | tvi,"advogado, é mesmo José Manuel Ramos, quem vai conduzir o processo. O mês depois do sessar fogo na faixa de gás, o gêngreo e enviado de Donald Trump começou a discutir a segunda fase do plano de paz. Apesar das tregoas, mais de 260 policineanos foram mortos nestas quatro semanas. E um documentário que vai ser recebido a esta noite no Reino Unido, traz duas revelações perturbadoras. Soldados realitas descrevem como as tropas, disparavam sem restrições contra civis e confirmam que o uso de escudos humanos, palestinianos, se tornou uma retena. Mais de 68.000 mortos polestinianos em dois anos de guerra, a grande maioria civis. Israel tem as costas uma caixa por genocídio no Tribunal Internacional...",28
