block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks,review_priority
1,00:00,00:03,0.0,3.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,a televisão feita por si,,1,medium
2,00:03,00:06,3.0,6.0,0.05,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Economia/Proteção Social,,,,jornal nacional | 0 754 | jornal nagional | não ao retrocesso e | 19 53 | salário direitos serviços públicos | o pacote labor,,2,medium
3,00:06,01:12,6.0,72.0,1.1,Transportes/Mobilidade,No speech,Transportes/Mobilidade,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,late_body_ocr_change,low,,51.0,3,"new_body_terms, lexical_shift_from_baseline",False,,,,"Greves/Trabalho, Transportes/Mobilidade",,,,greve geral o que está em causa | tvi 19 53 | tv 19 53 | melhor servico naci | 19 53 | ww stal p | tvi | w stal pt,,"3, 4",medium
4,01:12,02:03,72.0,123.0,0.85,Justiça/Segurança,Saúde,Justiça/Segurança,low_conflict,True,OCR and speech themes conflict.; Low speech coverage inside OCR block.,0.059,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Justiça/Segurança,Saúde,,,19 55 | exclusivo tvi | jornal nacional | 411 | igas confirma investigação ao dermatologista do st m | tvi 19 55 | igas confirma investigação ao dermatologista do st mathrm a m mathrm a | tvi,"Os inspeitos afirmam ainda que o médico fez cirurgias aos papos pais, algo que a TVI já tinha averiguado. Felo sem qualquer referência são, o que resultou num gasto de superior a 8.500 euros para o SNS, dos quais 5.500 apenas numa manhã de um sábado, ele foram pagos diretamente. Tal como a TV notícia, Miguel Palhaum ganhou 400 mil euros em apenas 10 sábados.",5,high
5,02:03,02:36,123.0,156.0,0.55,Other/Unknown,Saúde,Saúde,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.818,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,02:00,3.0,first_speech_window,,Saúde,,,19 56 | jornal nacional | tvi 19 56,"Os inspeitos afirmam ainda que o médico fez cirurgias aos papos pais, algo que a TVI já tinha averiguado. Felo sem qualquer referência são, o que resultou num gasto de superior a 8.500 euros para o SNS, dos quais 5.500 apenas numa manhã de um sábado, ele foram pagos diretamente. Tal como a TV notícia, Miguel Palhaum ganhou 400 mil euros em apenas 10 sábados.",6,medium
7,04:27,04:30,267.0,270.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,04:00,27.0,"theme_changed, lexical_change_high",,Justiça/Segurança,,,19 58 | ammanamanamana | tvi 19 58 | marine,"Em reação a notícia do Semanário, na serem do Sol, a carrisa informa agora que iria repetir os testes e o Etromagnéticos, no mês seguinte ao acidente. Estava prevista a nova inspção para o 8 de 2025. Ou seja, o primeiro cabo de fibra foi inspecionado ao fim de três",13,medium
8,04:30,05:33,270.0,333.0,1.05,Transportes/Mobilidade,Economia/Proteção Social,Transportes/Mobilidade,low_conflict,True,OCR and speech themes conflict.,0.952,0.5,2,candidate_detected,high,04:54,24.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,04:00,30.0,"theme_changed, lexical_change_high",Transportes/Mobilidade,"Justiça/Segurança, Economia/Proteção Social",,,tvi 19 58 | carris falha teste magnético | 19 58 | tvi carris falha teste magnético | jornal nacional | cabo devia ter sido inspecionado até fevereiro de 2024 | 19 59 | tvi,"meses, o do acidente só seria, ao fim, de um ano de serviço. A tragédia, antes de possuir um mês, ficar ouvida, será que teria sido evitada? em expressão também poderia feiar por falta de acesso às extremidades do cabo, que estão tudo indica na origem da tragédia. Especionar a pinha de ligação do cabo a carruagem implicaria desmontar uma série de peças e imobilizar os ilvadores todos os meses, como mandam as normas europeias nunca cumpridas para empresas.",14,high
9,05:33,09:27,333.0,567.0,3.9,Greves/Trabalho,Governo/Partidos,Greves/Trabalho,low_conflict,True,OCR and speech themes conflict.,0.756,0.492,6,late_body_ocr_change,low,,42.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",True,05:00,33.0,"theme_changed, semantic_change_high","Greves/Trabalho, Governo/Partidos","Governo/Partidos, Greves/Trabalho",,,greve geral | 19 59 | tvi 19 59 | gram | paralisação é a primeira em 12 anos | 20 00 | nacional | jornal nacional,"A proposta vende de um governo também ele, diferente de há 12 anos, pelo menos no que toca aos protagonistas, porque a cor política essa voltou a ser laranja. Pedro Motaçoar de lugar, Maria Rosário Palma Ramálio na pasta do trabalho, e no papel de passo escuelo está agora a Luís Montenegro, que usa as organizações sindicais de estar olhado para interesses partidários. Não consigo deslumbrar outra razão para esta posição das centrais sindicais, mas acho que não seja olhar para interesses que, do meu ponto de vista, não deviam ser os profeilecentes que é o interesse dos partidos que estão sobretudo ligados a gestão das duas centrais sindicais. Com um sem acordo com os parceiros sociais, a mini...",15,high
10,09:27,09:30,567.0,570.0,0.05,Other/Unknown,Governo/Partidos,Governo/Partidos,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Governo/Partidos, Greves/Trabalho",,,20 03 | aciona | jornal | trans | thansi | tvi 20 03,"de retrocesse, posto trabalhadores no plano daquilo que é precaria da dos horários de trabalho, na questão da contratação coletiva, a facilitação também dos sedimentos. Em causa está a chamada flexibilização do código do trabalho, a expressão criada pelo governo para falar da facilitação dos despedimentos e não só. Por exemplo, o escutivo quer alargar os prazos dos contratos de termo certo, de dois para três anos e de termo incerto, de quatro para cinco anos, bem como alterar os prazos do período experimental e",16,medium
11,09:30,09:39,570.0,579.0,0.15,Other/Unknown,Greves/Trabalho,Greves/Trabalho,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,Greves/Trabalho,,,tvi 20 03 | 20 03 | tvi,"ainda redefinir o direito à grave através do alargamento dos setores sujeitos a serviços mínimos. Portim, já de um princípio, em que os serviços e mil imissões abusivos, muitas vezes significam serviços máximos, colocando mais trabalhadores do que o dia normal de trabalho e o que faz o pacote de laboral é largar o conceito, a concessão das necessidades importeríveis, ou abacimento alimentar, a questão da portarívia e gelência, ou seto social, numa dimensão de subverter o exercício desse direito e retirar a expressão à",17,medium
