IST-2.jpeg    	         18.072669726
IST-0.jpeg    	         19.298347122
IST-1.jpeg    	         19.115596123
IST-4.jpeg    	         21.020704523
IST-5.jpeg    	         20.839175023
IST-6.jpeg    	         21.581866018
IST-7.jpeg    	         21.550442317
IST-9.jpeg    	         20.752777022
IST-8.jpeg    	         21.165939119
IST-3.jpeg    	         29.543376052
total 	16          31.055056043
thread_0 	1          19.510805920
thread_1 	1          19.553303020
thread_2 	1          18.789469521
thread_3 	1          30.938201143
thread_4 	1          22.779351311
thread_5 	1          22.877035410
thread_6 	1          23.981477102
thread_7 	1          24.676804197
thread_8 	1          25.289548292
thread_9 	1          25.250182893
thread_10 	0           4.495521571
thread_11 	0           4.495420071
thread_12 	0           4.495668171
thread_13 	0           4.495361771
thread_14 	0           4.495359671
thread_15 	0           4.495563871
