IST-2.jpeg    	          9.154656298
IST-0.jpeg    	          9.787514689
IST-1.jpeg    	          9.593427790
IST-5.jpeg    	          9.645647888
IST-6.jpeg    	          9.698896987
IST-4.jpeg    	          9.958785379
IST-3.jpeg    	         18.969286173
IST-7.jpeg    	          9.315201578
IST-8.jpeg    	          9.316883078
IST-9.jpeg    	          9.506446278
total 	4          29.414883651
thread_0 	3          28.963435953
thread_1 	3          29.030872352
thread_2 	3          29.269308451
thread_3 	1          20.258528565
