IST-1.jpeg    	         20.046325420
IST-0.jpeg    	         20.948661611
IST-2.jpeg    	         20.646409012
IST-5.jpeg    	         20.128290622
IST-4.jpeg    	         20.440914117
IST-6.jpeg    	         20.733709515
IST-9.jpeg    	         18.999880243
IST-7.jpeg    	         20.546799619
IST-8.jpeg    	         20.615495522
IST-3.jpeg    	         28.789254457
total 	32          30.169652544
thread_0 	1          20.451935219
thread_1 	1          21.159398410
thread_2 	1          21.267817908
thread_3 	1          30.059537644
thread_4 	1          22.050102598
thread_5 	1          22.029938599
thread_6 	1          22.991546286
thread_7 	1          23.611950978
thread_8 	1          24.605934567
thread_9 	1          23.441211081
thread_10 	0           4.439770138
thread_11 	0           4.439238838
thread_12 	0           4.439296138
thread_13 	0           4.439667138
thread_14 	0           4.439322138
thread_15 	0           4.439233038
thread_16 	0           4.439111338
thread_17 	0           4.438871538
thread_18 	0           4.438789538
thread_19 	0           4.438825838
thread_20 	0           4.438937838
thread_21 	0           4.439011238
thread_22 	0           4.438752338
thread_23 	0           4.438846338
thread_24 	0           4.438611438
thread_25 	0           4.438315538
thread_26 	0           4.438538038
thread_27 	0           4.438386838
thread_28 	0           4.438490838
thread_29 	0           4.438350638
thread_30 	0           4.438243738
thread_31 	0           4.438365438
