block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,No speech,0.0,0.0,0.0,0.0,0,,,,,,
3,No speech,0.0,0.0,0.0,0.0,0,,,,,,
4,Governo/Partidos,6.0,1.0,6.0,0.6666666666666666,1,"Governo/Partidos, Greves/Trabalho",,,1,"Porém, se começamos este sinal nacional com os momentos de alta atenção que se vivem a esta hora na Assembleia da República. Depois de uma manifestação que se iniciou de forma pacífica no rossil a improteste contra o pacote laboral, os anemos exaltaram-se a chegada ao Parlamento. Um grupo de pessoas que vemos agora em imagem começou a remissar objetos em semas, garrafas e pedras contra as escadarias","Porém, se começamos este sinal nacional com os momentos de alta atenção que se vivem a esta hora na Assembleia da República. Depois de uma manifestação que se iniciou de forma pacífica no rossil a improteste contra o pacote laboral, os anemos exaltaram-se a chegada ao Parlamento. Um grupo de pessoas que vemos agora em imagem começou a remissar objetos em semas, garrafas e pedras contra as escadarias"
5,Governo/Partidos,84.0,0.6511627906976745,129.0,1.0,5,"Governo/Partidos, Greves/Trabalho, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",,,"1, 2","Porém, se começamos este sinal nacional com os momentos de alta atenção que se vivem a esta hora na Assembleia da República. Depois de uma manifestação que se iniciou de forma pacífica no rossil a improteste contra o pacote laboral, os anemos exaltaram-se a chegada ao Parlamento. Um grupo de pessoas que vemos agora em imagem começou a remissar objetos em semas, garrafas e pedras contra as escadarias da Assembleia da República. A Polícia está agora a tentar controlar estes cidadãos em Fúria, ao que conseguimos apurar nenhum deles se faz parte da CZP ou da UGT, as duas centrais helicais que convocaram o protesto em dia de grabs. Olá, Sandra Boloie. Está aproximadamente 10, 15 minutos. Uma equipa de intervenção rápida da Polícia de Gil. Até lá abaixo junto ao largo ao fundo das escandarias para com o investidor por Cobra, é um foco de incêndio de fube que eu lhes queria devido aos objetos que foram sendo amuntos. E que voltam agora a estar a arder mesmo junto ao gradimento. No maltura que já vamos aproximadamente com 2 horas, em que deforme a inim de 30 para além da alguns canticos de protesto vão sendo remissadas, garrafas e outros objetos para as escadarias, caixotes do liso que foram sendo requidos nas imediações do parlamento, foram sendo desvaziados e cujo interior foi também atirado para as escadarias e como vemos, vários objetos foram ainda amuntos a liso do gradimento e estão agora a ser temmados. Nesta altura, provavelmente estarão por aqui aproximadamente 150 pessoas, tanto a lina de aquele largo e posso garantir que já estão aqui na simpleia da República mais policias do que pessoas não quer reconhecer a palavra manifestantes, porque essa manifestação, esse protesto já acabou há muito para volta desde 5 da tarde, depois dessa manifestação que trouxe até aqui é a gente fila e a e-marja quer apoia antes da CGTP quer também de um gtx que se coligaram este dia de grava geral e que vieram até aqui, ou se tem um ex-comício ou o iluminacional mais algumas canções que foram empuadas e a partir daí, ouve uma massa humana que aqui ficou aproximadamente","Porém, se começamos este sinal nacional com os momentos de alta atenção que se vivem a esta hora na Assembleia da República. Depois de uma manifestação que se iniciou de forma pacífica no rossil a improteste contra o pacote laboral, os anemos exaltaram-se a chegada ao Parlamento. Um grupo de pessoas que vemos agora em imagem começou a remissar objetos em semas, garrafas e pedras contra as escadarias da Assembleia da República. A Polícia está agora a tentar controlar estes cidadãos em Fúria, ao que conseguimos apurar nenhum deles se faz parte da CZP ou da UGT, as duas centrais helicais que convocaram o protesto em dia de grabs. Olá, Sandra Boloie. Está aproximadamente 10, 15 minutos. Uma equi..."
6,Greves/Trabalho,135.0,0.45,300.0,0.7142857142857143,11,"Greves/Trabalho, Cultura, Justiça/Segurança, Governo/Partidos, Saúde, Educação",,,"2, 3, 4, 5, 6, 7","do que pessoas não quer reconhecer a palavra manifestantes, porque essa manifestação, esse protesto já acabou há muito para volta desde 5 da tarde, depois dessa manifestação que trouxe até aqui é a gente fila e a e-marja quer apoia antes da CGTP quer também de um gtx que se coligaram este dia de grava geral e que vieram até aqui, ou se tem um ex-comício ou o iluminacional mais algumas canções que foram empuadas e a partir daí, ouve uma massa humana que aqui ficou aproximadamente talvez 1.000 mil e 500 pessoas, montado das pessoas que aqui estiveram quando chegou aqui na manifestação, mas a partir das 6 da tarde foram muitos os que desmobilizaram, cada vez tem sido mais aqueles que se têm ainda embora, mas a verdade continua aqui a ver um grupo de 6, 150 de pessoas que são só uma música, pelo meio com algumas frases de protesto e também com alguma perificação para que os agentes policiais aqui se vai mantendo, inclusive um de eles já passou pelo gradimento e acabou por ser de tido de forma tranquila e pacífica pela policia. Líndia na costa está lá embaixo no dólar com outra perspectiva relativamente, aquilo que vai ainda é entre aspas movendo estas pessoas para estar aqui enfrentando a simpleia da República de Líndia. O cenário é este de desorden, causo total a vários contentores a serem quemados. Estas pessoas que estão aqui presentes há mais de duas horas a provocar esta desorden, são a arredençar objetos de vidro, também outros objetos, sacos de lixo e na verdade há muita tensão. A polícia já fez uma primeira intervenção, um primeiro aviso, estes jovens, principalmente jovens, que estão aqui presentes a causar toda esta confusão. Renderam-se, furam para trás, mas poucos estão depois, estão de volta e continua há muito fogo, muitas fogulhas no ar, um cheiro intenso também, fumo e continuam, num protesto que acabou pacificamente uma manifestação que acabou de forma pacífica há mais de duas horas, em tantos ánims exaltaram-se, começaram a ser remassados objetos de vidro, garafas de vidro, essencialmente, uma pessoa acabou por entrar pela escadaria e já foi vestida, é este o cenário que conseguimos ver aqui junto à escadaria na linha da frente. Vou para passar a palavra aos José Carlos Arãos. E continuo a arte, alguns objetos ali no fundo da escandaria, a policia já tentou a pouco por fim este cenário, e, exclusivamente, foi disparado alguma munição de borracha, quem estava aqui no Largo acabou por ser festar, mas em muitos depois a policia, e em que depois a policia acabou por retuar e voltar ao cima da escadaria, onde está aqui numa posição expectante de vigilância e de monitorização daquilo que vai acontecer no lá embaixo, onde iria que estamos pranto um jogo de paciência por partes das autoridades e da alguma em paciência por parte daquilo que ela vai se estando embaixo e continuam a remissar objetos para a escadaria de dar sempre a era republicana. Apacotas e pacotas e o que Luís Montenegro e o executivo apresentaram para a lei laboral, não ag...","do que pessoas não quer reconhecer a palavra manifestantes, porque essa manifestação, esse protesto já acabou há muito para volta desde 5 da tarde, depois dessa manifestação que trouxe até aqui é a gente fila e a e-marja quer apoia antes da CGTP quer também de um gtx que se coligaram este dia de grava geral e que vieram até aqui, ou se tem um ex-comício ou o iluminacional mais algumas canções que foram empuadas e a partir daí, ouve uma massa humana que aqui ficou aproximadamente talvez 1.000 mil e 500 pessoas, montado das pessoas que aqui estiveram quando chegou aqui na manifestação, mas a partir das 6 da tarde foram muitos os que desmobilizaram, cada vez tem sido mais aqueles que se têm ain..."
7,Saúde,45.0,0.5555555555555556,81.0,1.0,4,"Saúde, Educação, Greves/Trabalho, Justiça/Segurança",,,"7, 8","O que desde o Itimeia, eu não consigo pegar o que o camioneta deixou de um coboio. Em dia de gravisar alo, o país ficou superimido, apesar dos serviços mínimos. Não são nos coboios, mas também na educação e na saúde. Nos hospitales, são José, por exemplo, a sala de espera para as consultas costuma estar abarrotar de pessoas. Dizer que as consultas ternas, pelo meu conhecimento, não têm técnicos auxiliais de saúde, não têm enfermeiros, têm apenas alguns assicentes técnicos e muito poucos médicos. No porto no hospital de São João não é possível, mas carar a greve só se atende o que é urgente. Sandra, a polícia está a fazer exatamente 5 feias, aproximadamente 3 quartos. Agora está este indir o fogo que estava lá o fim da escadarinha. Aqui um pouco mais acima, há também algumas munições de borracha que estão acertados para a polícia e como se vê, toda a zona do lá que ficou desfateiada em muitos poços de um desmazação em tudo similar. Aqui um pouco mais reforçadas, aqui para a intervenção rápida, são mais elementos do hombro daqueles que tiram há pouco, mas também aqui o foco de","O que desde o Itimeia, eu não consigo pegar o que o camioneta deixou de um coboio. Em dia de gravisar alo, o país ficou superimido, apesar dos serviços mínimos. Não são nos coboios, mas também na educação e na saúde. Nos hospitales, são José, por exemplo, a sala de espera para as consultas costuma estar abarrotar de pessoas. Dizer que as consultas ternas, pelo meu conhecimento, não têm técnicos auxiliais de saúde, não têm enfermeiros, têm apenas alguns assicentes técnicos e muito poucos médicos. No porto no hospital de São João não é possível, mas carar a greve só se atende o que é urgente. Sandra, a polícia está a fazer exatamente 5 feias, aproximadamente 3 quartos. Agora está este indir o ..."
8,Greves/Trabalho,90.0,0.297029702970297,303.0,1.0,11,"Justiça/Segurança, Greves/Trabalho, Cultura, Transportes/Mobilidade",,CHEGA,"8, 9, 10, 11, 12, 13, 14","está a fazer exatamente 5 feias, aproximadamente 3 quartos. Agora está este indir o fogo que estava lá o fim da escadarinha. Aqui um pouco mais acima, há também algumas munições de borracha que estão acertados para a polícia e como se vê, toda a zona do lá que ficou desfateiada em muitos poços de um desmazação em tudo similar. Aqui um pouco mais reforçadas, aqui para a intervenção rápida, são mais elementos do hombro daqueles que tiram há pouco, mas também aqui o foco de Era um pouco mais terso, portanto talvez por isso eu vejo que consigo me juntar em um estinturma, mas talvez eu acho que deixo mais a ser utilizado, escreja-se aqui um pouco esta nuvem de fume, e há alguns agentes que estão aqui a meia da escadaria, e que estão a esperar alguma município. Acho enquanto forma quase ironica, se está a ouvir a música, lá se... Esmas e cosinamento com os manifestantes, para esse clássico... Não vai ser algo surreal, depois de ter me estado aqui, a estar ouvir músicas de protesto, canções de intervenção, numa altura em que a polícia deixa até ao fundo da escadaria, quem está a tomar conta de abandono o senhora por assim dizer, deste protesto, que já, como dissemos várias vezes, já não está relacionado com a manifestação da greva geral, mas quem está a tomar conta de esta sensora, resolve com o carrega de altura a música, lá se dizem-se que, se enquadram o espírito natalismo ainda que, completamente dissonente, relativamente aos espíritos que se têm de ir aqui, já que a música fala de tudo menos de violência, de desordem, e daqui uma que temos assistido durante as últimas horas, com o contínuo a remesa do objects, e do garrafas para a escadaria da Asemba e da República, com cachotes de liso, a serem, a sessão de José Zé, os objetos a serem atirados para a escadaria, como o vídeo de ar-urbanho ter destruído e acercam a mano, e, mais uma vez, tal como aconteceu a polo, a polícia vai recuando e vai voltar aqui ao topo da escadaria, e os manifestantes voltam a aproximar-se das grades, voltam com algumas palavras de protesto com o misto de provocação às autoridades, e aproximam-se do gradimento. E no meio de tudo isto, vamos ouvindo o lasco e se mas é de facto um cenário que já viu muita coisa, mas isto é de facto quase que inimaginável, normal porém que vão cantando e vão dançando ao som dessa música lá embaixo e vão atirando garrafas também ao mesmo tempo, a polícia regula e volta de tens de uma altura em que praticamente estão aqui tantos elementos da polícia como pessoas que lá estão embaixo num ar. Resta tentando saber até que vai permanecer a estatutua de basicamente vigilante com esta segunda intervenção numa altura, em que sempre disse que também por não ter grandes e feitos prátidos porque este objetos já estão a arbeir outra vez, os manifestantes já se voltaram a aproximar do gradimento e já voltaram a remissar objetos para a cicada Muita um desordenada em furia não sabemos ao certo canção. Os outros vandalismo estão bem evidentes nestas imagens. ...","está a fazer exatamente 5 feias, aproximadamente 3 quartos. Agora está este indir o fogo que estava lá o fim da escadarinha. Aqui um pouco mais acima, há também algumas munições de borracha que estão acertados para a polícia e como se vê, toda a zona do lá que ficou desfateiada em muitos poços de um desmazação em tudo similar. Aqui um pouco mais reforçadas, aqui para a intervenção rápida, são mais elementos do hombro daqueles que tiram há pouco, mas também aqui o foco de Era um pouco mais terso, portanto talvez por isso eu vejo que consigo me juntar em um estinturma, mas talvez eu acho que deixo mais a ser utilizado, escreja-se aqui um pouco esta nuvem de fume, e há alguns agentes que estão ..."
9,Transportes/Mobilidade,81.0,0.3068181818181818,264.0,0.8979591836734694,10,"Transportes/Mobilidade, Eleições/Campanha, Abertura/Manchetes, Greves/Trabalho, Saúde, Internacional",,,"13, 14, 15, 16, 17, 18","quer no número de convoyos, quer no número de passageiros, até às 10 da manhã a empresa conseguiu fazer apenas 12 ligações, três delas, Lisboa, fora d'hora de ponta, não ouve convoyos para capital. No Porto O cenário Repetiu-se, este CP nem sequer conseguiu cumprir os serviços mínimos. A cidade só não orgulhou no caos porque havia também muito menos pessoas à procura de transporte e a circular nas estradas. A estação de campanha também estava assim, praticamente vazia em hora de ponta, não havia passageiros nem com boios. Eu só tinha a Chinkimei a cheia de medo amanhã e até o momento não foi possível apanhar ainda o convoy, eu vou ter que guardar agora, que seja possível. Ou então alguém que venha cá, me escorra, nesse caso, alguém da família. Nós, na Orbanha, aqui do Porto, estamos a falar em cerca dos anos 1984 que já tinha adequado com o moio, que são realizados durante o dia e só são permitidos a ser realizados a 86. que estão a contrato. Nos aeroportos do impacto foi minimizado pela antecipação que os várias companhias aéreas fizeram da paralisação. Por exemplo, os grupos de tape e sata deram aos passageiros, com bilhete para esta quinta-feira, a possibilidade de alterar em a data das viagens, o que a maioria aceitou, resultado a aeroportos quase vazios. O grupo de tape que é o maior grupo da viação em Portugal, em colher a tape PGA, dos e 83 voos planeados vão se realizar cerca de 60 a 63 que são os serviços mínimos. Boa noite, Sandra, essas são as quase vazias, com boias na sua maioria supermítulos, esta realidade de um dia marcado por essa greve geral, por esse dia de quase paralização total nos transportes públicos. Os afetos da greve sentiram, sobretudo, na CP, ou todo foram 820 os comboios supermítulos, e este segundo o último balanço, a empresa da conta de uma adesão à greve de mais de 70, e 6% sendo que a mesma CP garantiu aqueles clientes que tenham comprado bilhetes para serviços de longo curso, ou regionais, têm direito a um riambol total do valor do bilhete, ou a oportunidade de trocar de forma gratuita para um convoy da mesma categoria e classe. Mas foi claramente um dia de grandes constrangimentos, sobretudo, aqui na parte da CP, na parte da linha ferro-aviar, e em um dia marcado por essa greve geral, e antes depois, a CGTP e a UGT voltaram a paralisar, quase totalmente, o setor dos transportes públicos. Bom, nós te centrarem um grande impacto. Eu diria que mais de 60% dos voos, marcados para hoje, foram cancelados. Ora, no universo de 621 voos aqui, era o porto umberto delgado e, segundo, os últimos dados de anerooportos foram cancelados 394, e nove de eles cancelados em cima da hora. Os restantes foram cancelados, mas, como havia previo, aos passageiros que poderam escolher entre viajar três dias antes ou três dias, depois houvesse a flexibilidade por parte das companhias aéreas que tentaram minimizar aqui, também que seria o transtorno. Nos passageiros que tinham voos marcados para hoje, mas ainda assim, uma grande adesão co...","quer no número de convoyos, quer no número de passageiros, até às 10 da manhã a empresa conseguiu fazer apenas 12 ligações, três delas, Lisboa, fora d'hora de ponta, não ouve convoyos para capital. No Porto O cenário Repetiu-se, este CP nem sequer conseguiu cumprir os serviços mínimos. A cidade só não orgulhou no caos porque havia também muito menos pessoas à procura de transporte e a circular nas estradas. A estação de campanha também estava assim, praticamente vazia em hora de ponta, não havia passageiros nem com boios. Eu só tinha a Chinkimei a cheia de medo amanhã e até o momento não foi possível apanhar ainda o convoy, eu vou ter que guardar agora, que seja possível. Ou então alguém que..."
10,Internacional,27.0,0.6428571428571429,42.0,1.0,2,"Saúde, Internacional, Transportes/Mobilidade",,,"17, 18","para o Brasil e os passageiros estão a chegar aqui ao atrio das partidas do aeroporto umberto delgado, não só para esses países, mas também para a madeira, açores e alguns países da União Europeia, como é o caso, de Bélgica, Luxemburgo e Reino Unido. Catarina Cardoso, com o ponto de situação, nos hospital aliás não era o porto de Lisbo antes, 60% de os voos acabaram por ser cancelados. Vamos agora aos hospitales ver o que se passou na saúde e impacta gravis joalho. Fecham-se sentidos sobretudo na cirurgia de as não urgentes e nas consultas programadas. A Fedoração Nacional dos Médicos fala numa adesão a rondar os 90%.","para o Brasil e os passageiros estão a chegar aqui ao atrio das partidas do aeroporto umberto delgado, não só para esses países, mas também para a madeira, açores e alguns países da União Europeia, como é o caso, de Bélgica, Luxemburgo e Reino Unido. Catarina Cardoso, com o ponto de situação, nos hospital aliás não era o porto de Lisbo antes, 60% de os voos acabaram por ser cancelados. Vamos agora aos hospitales ver o que se passou na saúde e impacta gravis joalho. Fecham-se sentidos sobretudo na cirurgia de as não urgentes e nas consultas programadas. A Fedoração Nacional dos Médicos fala numa adesão a rondar os 90%."
