block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,No speech,0.0,0.0,0.0,0.0,0,,,,,,
2,Governo/Partidos,9.0,1.0,9.0,0.2727272727272727,1,"Governo/Partidos, Greves/Trabalho",,,1,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram","Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram"
3,Governo/Partidos,3.0,1.0,3.0,1.0,1,"Governo/Partidos, Greves/Trabalho",,,1,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram","Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram"
4,Governo/Partidos,3.0,1.0,3.0,1.0,1,"Governo/Partidos, Greves/Trabalho",,,1,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram","Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram"
5,Governo/Partidos,15.0,0.625,24.0,1.0,2,"Governo/Partidos, Greves/Trabalho, Justiça/Segurança",,,1,"Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram a grave geral com uma concentração no local. Milhaz de pessoas encheram a praça à frente da Semedade República. E, ao que ir da noite, ocorreram vários incidentes. Os manifestantes foram buscar cachotes do listo Rua e começaram a tirar guerráficas de vidro e sacos do listo na direção da escadaria do Parlamento. A manifestantes de cara tapada foram também em queimados cartazes junto à escadaria. Apenas um manifestante salto às grades. A polícia concentrou-se e reforçou a presença","Bom, à situação de novo se tensa dentro do Parlamento. Os manifestantes assinaram a grave geral com uma concentração no local. Milhaz de pessoas encheram a praça à frente da Semedade República. E, ao que ir da noite, ocorreram vários incidentes. Os manifestantes foram buscar cachotes do listo Rua e começaram a tirar guerráficas de vidro e sacos do listo na direção da escadaria do Parlamento. A manifestantes de cara tapada foram também em queimados cartazes junto à escadaria. Apenas um manifestante salto às grades. A polícia concentrou-se e reforçou a presença"
6,Justiça/Segurança,81.0,0.32926829268292684,246.0,1.0,9,"Governo/Partidos, Justiça/Segurança, Greves/Trabalho, Abertura/Manchetes, Ambiente/Meteorologia/Proteção Civil, Saúde, Educação",,,"1, 2, 3, 4, 5","a grave geral com uma concentração no local. Milhaz de pessoas encheram a praça à frente da Semedade República. E, ao que ir da noite, ocorreram vários incidentes. Os manifestantes foram buscar cachotes do listo Rua e começaram a tirar guerráficas de vidro e sacos do listo na direção da escadaria do Parlamento. A manifestantes de cara tapada foram também em queimados cartazes junto à escadaria. Apenas um manifestante salto às grades. A polícia concentrou-se e reforçou a presença à porta do Parlamento. Depois, os agentes deixaram a escadaria, a sendo auve, do larmence do objeto por parte de manifestantes. Muito boa noite. A situação neste momento continua complexa. Aqui ainda um corredão policial, em uma equipa de intervenção que está neste momento, no início de escadarias estão alinhados de modo a perceber, quando é que vai ser necessário atuar ou não. Uma vez que há pouco de ser rapidamente escladas e foram ao encontro destes manifestantes de modo a tentar despressar esta multidão. De facto isso aconteceu, mas voltaram a juntar e também como é visível nas imagens. Continuaram a atuar com cantigos mais agressivos contra o governo e também aqui a provocar um pequeno incêndio com cartazes e faixas que tinham da manifestação desta tarde. E o facto de se chama já são consideráveis, inclusive, também foi usado um cachote do lixo para ser cocado neste fogo, foram retirados aqui das ruas e também o que estava no seu interior, nomeadamente garrafas de vidro que foram arremessadas contra PSP. Aliás, por esta altura, continuam a ser arremessadas garrafas de vidro, mas também alguns tênicos, a mistura, alguns manifestantes têm desprezado por esta hora, mas aqui o que de facto um grupo que se mantém alguns indivíduos de cara tapada e como dizia a Polícia Estáneas do momento posicionada aqui no topo, a vez que daria da Assembleia da República observa neste momento os manifestantes e tenta perceber se vai ser preciso então intervir nesta situação para já ou não. A polícia foi, de facto, ter com os manifestantes que estavam nestas, baias, digamos, assim. E o objetivo era, de facto, desprestar estas pessoas, da alguma óbvio, por ficar uma maior tensão para que estas pessoas podessem perceber que estava na altura, digamos, assim, de voltar para casa, de desprestar uma vez que já tinham sido, também, várias palavras ofensivas, face a PSP, e a ideia era essa, mesmo depois, voltaram ao teu poder escadaria e permanecem aqui para tentar perceber se, de facto, estas pessoas, então, vão acabar por desprestar. Nesta é a Graves-eraal, os sindicatos contestam as alterações a arrelhias do trabalho por postas pelo Governo, a paralisação afeto ao sobretudo do Sétor público, menos do até o Sétor privado. Os maiores impactos foram sentidos nos seus fortes públicos, apesar de se compreir em os serviços mínimos, ou várias dezenas de voos cancelados nos diferentes aeroportos, mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensida...","a grave geral com uma concentração no local. Milhaz de pessoas encheram a praça à frente da Semedade República. E, ao que ir da noite, ocorreram vários incidentes. Os manifestantes foram buscar cachotes do listo Rua e começaram a tirar guerráficas de vidro e sacos do listo na direção da escadaria do Parlamento. A manifestantes de cara tapada foram também em queimados cartazes junto à escadaria. Apenas um manifestante salto às grades. A polícia concentrou-se e reforçou a presença à porta do Parlamento. Depois, os agentes deixaram a escadaria, a sendo auve, do larmence do objeto por parte de manifestantes. Muito boa noite. A situação neste momento continua complexa. Aqui ainda um corredão poli..."
7,Saúde,9.0,1.0,9.0,1.0,1,"Saúde, Educação",,,"4, 5","mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensidade nos setores públicos da saúde e da educação. Muitas escolas públicas estivaram encerradas e não SNS foram adiados milhares de exames médicos, consultas e cirurgias. Como sempre, nessas ocasiões há grande infugência nos números. As centrais sindicais disseram que a greva geral está a ser um verdadeiro sucesso e criada de visão se encontra acima das expectativas. A CISIDP afirma o mesmo que mais de três milhões de","mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensidade nos setores públicos da saúde e da educação. Muitas escolas públicas estivaram encerradas e não SNS foram adiados milhares de exames médicos, consultas e cirurgias. Como sempre, nessas ocasiões há grande infugência nos números. As centrais sindicais disseram que a greva geral está a ser um verdadeiro sucesso e criada de visão se encontra acima das expectativas. A CISIDP afirma o mesmo que mais de três milhões de"
8,Governo/Partidos,9.0,0.6,15.0,1.0,2,"Saúde, Educação, Governo/Partidos, Greves/Trabalho",,,"4, 5","mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensidade nos setores públicos da saúde e da educação. Muitas escolas públicas estivaram encerradas e não SNS foram adiados milhares de exames médicos, consultas e cirurgias. Como sempre, nessas ocasiões há grande infugência nos números. As centrais sindicais disseram que a greva geral está a ser um verdadeiro sucesso e criada de visão se encontra acima das expectativas. A CISIDP afirma o mesmo que mais de três milhões de trabalhadores adquiriram a paralização. Já o governo disse que o nível de adição é inespecível, em particular do sr. privado e social, onde não traou o trapaçado dos 10%. O executivo comprou o efeito desta paralização ao de uma greva personal da função pública.","mas apenas o método Lisboa esteve completamente parado. A Grave também se fez sentir com o maior intensidade nos setores públicos da saúde e da educação. Muitas escolas públicas estivaram encerradas e não SNS foram adiados milhares de exames médicos, consultas e cirurgias. Como sempre, nessas ocasiões há grande infugência nos números. As centrais sindicais disseram que a greva geral está a ser um verdadeiro sucesso e criada de visão se encontra acima das expectativas. A CISIDP afirma o mesmo que mais de três milhões de trabalhadores adquiriram a paralização. Já o governo disse que o nível de adição é inespecível, em particular do sr. privado e social, onde não traou o trapaçado dos 10%. O ex..."
9,Governo/Partidos,21.0,1.0,21.0,1.0,1,"Governo/Partidos, Greves/Trabalho",,,5,"trabalhadores adquiriram a paralização. Já o governo disse que o nível de adição é inespecível, em particular do sr. privado e social, onde não traou o trapaçado dos 10%. O executivo comprou o efeito desta paralização ao de uma greva personal da função pública.","trabalhadores adquiriram a paralização. Já o governo disse que o nível de adição é inespecível, em particular do sr. privado e social, onde não traou o trapaçado dos 10%. O executivo comprou o efeito desta paralização ao de uma greva personal da função pública."
10,Greves/Trabalho,6.0,1.0,6.0,1.0,1,Greves/Trabalho,,,6,"O dia de greve geral acabou com uma manifestação da CZTP, há 12 anos, que não havia uma greve geral conjunta marcada pelas duas centrais sindicais. CZTP e UGT falam de uma das melhores greves de sempre e apontam para três milhões de trabalhadores em greve. A CZTP não quis adiantar um número aproximado de manifestantes, mas o mar de gente encheu as ruas para onde passou durante a tarde,","O dia de greve geral acabou com uma manifestação da CZTP, há 12 anos, que não havia uma greve geral conjunta marcada pelas duas centrais sindicais. CZTP e UGT falam de uma das melhores greves de sempre e apontam para três milhões de trabalhadores em greve. A CZTP não quis adiantar um número aproximado de manifestantes, mas o mar de gente encheu as ruas para onde passou durante a tarde,"
11,Greves/Trabalho,114.0,0.4523809523809524,252.0,1.0,9,"Greves/Trabalho, Governo/Partidos, Educação, Economia/Proteção Social",,,"6, 7, 8, 9, 10","O dia de greve geral acabou com uma manifestação da CZTP, há 12 anos, que não havia uma greve geral conjunta marcada pelas duas centrais sindicais. CZTP e UGT falam de uma das melhores greves de sempre e apontam para três milhões de trabalhadores em greve. A CZTP não quis adiantar um número aproximado de manifestantes, mas o mar de gente encheu as ruas para onde passou durante a tarde, em Lisboa, a concentração saiu do recio em direção à Assembleia da República. Foi a resposta dos trabalhadores à reforma laboral que o governo quer fazer. CZTP e UGT falam de três milhões de trabalhadores em greve no dia de hoje. Muitos tiveram em vários dos pontos de concentração por país, querem que o governo retiro totalmente o pacote da revisão do código de trabalho. No desfile Lisboa, muitos trabalhadores adicerem acreditar que vão perder direitos com estas alterações ao lei laboral. Um dos temas que mais se preocupa, quem se manifesta esta tarde, é o aumento de percaridade. O pacão da proposta de pacocla-bral é um ataque a todos os trabalhadores, em particular pela normalização dos contratos a ti, pelo bando de doras individual, que é particularmente o trabalhador na área da restora de sorritoria. Acho que luta também dos jovens trabalhadores com baterias de pacocla-bral e estamos aqui todos os computadores, acho que é uma demonstração de força. Néias medidas de pacocla-bral atendidas podem, a primeira nem sequer afeta, há muitos pessoas, mas podem chegar a eles, como o bando de doras, também contra toda a precaria que queria dar também, se vai estender aos professores e as famílias dos nossos alunos também. E mesmo contra o próprio Direitar Grafe está ameaçado que os professores, como um de uns com menos de 12 anos, vão ter o Direitar Grafe altamente estringido e os sindicados não vão ter entrar em escolas, não tenham pessoas sindicalizados. O que me preocupa mais de longe é facilidade com os contratos a prazo que podem arrastar. Estamos numa situação em que as pessoas mais jovens se encontram vezes e vezes se encontram com contratos a termo e aumentar o período de anos em que uma pessoa pode estar nessa situação é o pior que se pode fazer neste momento, pelo menos para nós, pelo menos para o trabalhador. Não pode mudar como foi proposta. Fiz greve porque mais do que me afetar, a mim, pessoalmente, tenho medo de passar com meus filhos e pessoas todas com este pacote laboral, que, claramente, não foi se fragado nas iguaisções, e mais do que isso representa um risco a crescer, num país que já se feriu com a Patroica, com o Jav se feriu também com o ajustamento, com o Ita-Jutamento, e que, em vez de ver a sensação revertida, numa altura entre o endro-chistimento económico, está novamente a entrada homologica, e cera a se sinuniu no expoamento, no caso que se fique da ciência e do assim superior, No Porto, um tarão cerca de 500 pessoas na Avenida dos Aliados é a concentração marcada pela CJP, reuniu o trabalhador de vários setores, uns mais ovens ou desreformado...","O dia de greve geral acabou com uma manifestação da CZTP, há 12 anos, que não havia uma greve geral conjunta marcada pelas duas centrais sindicais. CZTP e UGT falam de uma das melhores greves de sempre e apontam para três milhões de trabalhadores em greve. A CZTP não quis adiantar um número aproximado de manifestantes, mas o mar de gente encheu as ruas para onde passou durante a tarde, em Lisboa, a concentração saiu do recio em direção à Assembleia da República. Foi a resposta dos trabalhadores à reforma laboral que o governo quer fazer. CZTP e UGT falam de três milhões de trabalhadores em greve no dia de hoje. Muitos tiveram em vários dos pontos de concentração por país, querem que o govern..."
12,Governo/Partidos,9.0,1.0,9.0,1.0,1,Governo/Partidos,,,10,"pelo Governo. Os gravistas mostraram uma particular preocupação com o banco de horas individual, o aumento da duração máxima dos contrátios de sapraso e a facilitação dos despedimentos.","pelo Governo. Os gravistas mostraram uma particular preocupação com o banco de horas individual, o aumento da duração máxima dos contrátios de sapraso e a facilitação dos despedimentos."
13,Governo/Partidos,33.0,0.28205128205128205,117.0,1.0,5,"Governo/Partidos, Justiça/Segurança, Greves/Trabalho, Ambiente/Meteorologia/Proteção Civil",,,"10, 11","pelo Governo. Os gravistas mostraram uma particular preocupação com o banco de horas individual, o aumento da duração máxima dos contrátios de sapraso e a facilitação dos despedimentos. A Polícia voltou nesse precisamente a viagem, voltaram a recuar agora mesmo, voltou então e junto a estas baias em linha foram todos concentrados aqui a equipa de intervenção da PSP, voltaram a recuar agora e o objetivo era isso mesmo como referia a pouco a festar estes manifestantes e também apagar este pequeno incêndio que foi aqui feito por estes manifestantes com vários cartazos, faças e também cachotes do lixo que foram retirados das ruas e postos agora queimar. O objetivo era esse, se desperçar de facto foi conseguido uns primeiros segundos, digamos assim, as pessoas que estão a desperçar um pouco mas agora voltaram de facto, para junto destas baias continuam inclusive a arremser de refaz de vidro, a mandar também pedras de calçadas a PSP e inclusive a fazer aqui alguns canticos e também a pronunciar aqui nômeros a oficivos contra a PSP. O CODÃO policial mantém-se então agora novamente no início da escadaria da Assembleia da República numa linha de prontidência que podemos dizer assim e de facto o que é expectável é ter qualquer momento que possam voltar a te ser estas caras caso os ánimos se voltem a exaltar aqui também não só com o objetivo de despreçar estes manifestantes mas também apagar este incêndio que foi criado pelas pessoas que ainda permanecem embora a pouco e pouco começem a desmobilizar.","pelo Governo. Os gravistas mostraram uma particular preocupação com o banco de horas individual, o aumento da duração máxima dos contrátios de sapraso e a facilitação dos despedimentos. A Polícia voltou nesse precisamente a viagem, voltaram a recuar agora mesmo, voltou então e junto a estas baias em linha foram todos concentrados aqui a equipa de intervenção da PSP, voltaram a recuar agora e o objetivo era isso mesmo como referia a pouco a festar estes manifestantes e também apagar este pequeno incêndio que foi aqui feito por estes manifestantes com vários cartazos, faças e também cachotes do lixo que foram retirados das ruas e postos agora queimar. O objetivo era esse, se desperçar de facto..."
