IST-1.jpeg    	          4.356885721
IST-2.jpeg    	          4.398867321
IST-0.jpeg    	          4.514078621
IST-5.jpeg    	          4.901425323
IST-4.jpeg    	          5.147753525
IST-6.jpeg    	          5.273464725
IST-7.jpeg    	          5.175791925
IST-9.jpeg    	          5.004749223
IST-8.jpeg    	          5.208997025
IST-3.jpeg    	          7.399550135
total 	16           7.777932937
thread_0 	1           4.568837022
thread_1 	1           4.461972822
thread_2 	1           4.556250722
thread_3 	1           7.677993237
thread_4 	1           5.523242227
thread_5 	1           5.358311926
thread_6 	1           5.817634028
thread_7 	1           5.921886429
thread_8 	1           6.196763730
thread_9 	1           6.098474429
thread_10 	0           1.092248006
thread_11 	0           1.092153106
thread_12 	0           1.092061306
thread_13 	0           1.092052506
thread_14 	0           1.091951506
thread_15 	0           1.091945606
