IST-0.jpeg    	          2.498649418
IST-2.jpeg    	          2.513976617
IST-1.jpeg    	          2.605787319
IST-4.jpeg    	          2.480340417
IST-5.jpeg    	          2.412101917
IST-6.jpeg    	          2.489952617
IST-3.jpeg    	          5.186955537
IST-7.jpeg    	          2.302579117
IST-9.jpeg    	          2.338311217
IST-8.jpeg    	          2.522123118
total 	4           7.719254755
thread_0 	3           7.336255753
thread_1 	3           7.546435054
thread_2 	3           5.524783840
thread_3 	1           7.620124455
