IST-0.jpeg    	          4.643487697
IST-2.jpeg    	          4.723769429
IST-1.jpeg    	          4.825469817
IST-4.jpeg    	          4.794314790
IST-5.jpeg    	          5.149032720
IST-6.jpeg    	          5.379083853
IST-8.jpeg    	          4.973997848
IST-9.jpeg    	          4.896457545
IST-7.jpeg    	          5.274032756
IST-3.jpeg    	          7.035581332
total 	32           7.466821945
thread_0 	1           4.703735684
thread_1 	1           4.952327791
thread_2 	1           4.913565690
thread_3 	1           7.371832764
thread_4 	1           5.230632401
thread_5 	1           5.670783414
thread_6 	1           6.013049324
thread_7 	1           6.097938926
thread_8 	1           6.034975125
thread_9 	1           6.068981426
thread_10 	0           1.171075481
thread_11 	0           1.171034681
thread_12 	0           1.171003081
thread_13 	0           1.170983681
thread_14 	0           1.170936981
thread_15 	0           1.170520581
thread_16 	0           1.170505281
thread_17 	0           1.170461281
thread_18 	0           1.170403381
thread_19 	0           1.170381981
thread_20 	0           1.170340781
thread_21 	0           1.170315681
thread_22 	0           1.169951381
thread_23 	0           1.169886881
thread_24 	0           1.169858781
thread_25 	0           1.169861881
thread_26 	0           1.169781381
thread_27 	0           1.169753881
thread_28 	0           1.169764481
thread_29 	0           1.169288881
thread_30 	0           1.169301381
thread_31 	0           1.169211681
