IST-19.jpg    	          3.568138653
IST-17.jpg    	          4.171973157
IST-18.jpg    	          4.159862881
IST-20.jpg    	          4.112289529
IST-21.jpg    	          4.054512081
IST-23.jpg    	          4.560444760
IST-22.jpg    	          4.756000649
IST-28.jpg    	          4.482175119
IST-27.jpg    	          4.730171694
IST-32.jpg    	          4.619630466
IST-25.jpg    	          5.354741573
IST-30.jpg    	          5.128229634
IST-26.jpg    	          5.569168520
IST-29.jpg    	          5.434442517
IST-24.jpg    	          5.763634368
IST-31.jpg    	          5.658682304
IST-1.jpg    	         42.653478517
IST-2.jpg    	         44.280803535
IST-3.jpg    	         50.170554231
IST-4.jpg    	         54.871529138
IST-5.jpg    	         54.387072680
IST-7.jpg    	         57.986248518
IST-8.jpg    	         57.985602189
IST-12.jpg    	         52.655141363
IST-9.jpg    	         58.681064565
IST-13.jpg    	         52.970502548
IST-10.jpg    	         57.542637976
IST-14.jpg    	         51.599334273
IST-15.jpg    	         51.848100684
IST-16.jpg    	         51.942957889
IST-6.jpg    	         74.139622774
IST-11.jpg    	         67.687980572
total 	32          79.490855903
thread_0 	1          42.781079338
thread_1 	1          44.536678476
thread_2 	1          50.567898095
thread_3 	1          56.226668857
thread_4 	1          57.739375118
thread_5 	1          78.931667464
thread_6 	1          63.099540941
thread_7 	1          63.403947754
thread_8 	1          64.890792118
thread_9 	1          65.635175151
thread_10 	1          64.633055807
thread_11 	1          79.361174988
thread_12 	1          65.561618847
thread_13 	1          66.391675983
thread_14 	1          65.813676358
thread_15 	1          66.816490602
thread_16 	1          19.091769644
thread_17 	1          19.119578746
thread_18 	1          18.574874995
thread_19 	1          19.153321948
thread_20 	1          19.184251150
thread_21 	1          19.766577687
thread_22 	1          19.923591196
thread_23 	1          21.020189965
thread_24 	1          20.660653942
thread_25 	1          20.927850859
thread_26 	1          20.131885709
thread_27 	1          19.947619298
thread_28 	1          20.961709861
thread_29 	1          20.713097146
thread_30 	1          21.302265283
thread_31 	1          20.307061720
