IST-2.jpg    	         36.211217567
IST-1.jpg    	         36.955404991
IST-3.jpg    	         37.566948358
IST-5.jpg    	         38.053151927
IST-4.jpg    	         41.749097643
IST-8.jpg    	         41.763756458
IST-7.jpg    	         46.560064631
IST-9.jpg    	         33.514167773
IST-12.jpg    	         32.022146741
IST-10.jpg    	         35.894842674
IST-17.jpg    	          3.581268565
IST-18.jpg    	          3.220422962
IST-19.jpg    	          2.120219743
IST-14.jpg    	         33.831118018
IST-20.jpg    	          1.814206466
IST-13.jpg    	         35.697072859
IST-21.jpg    	          1.727709772
IST-22.jpg    	          1.675385276
IST-23.jpg    	          1.694075174
IST-24.jpg    	          1.665842377
IST-25.jpg    	          1.655353878
IST-26.jpg    	          1.648762078
IST-27.jpg    	          1.629659077
IST-28.jpg    	          1.631977276
IST-29.jpg    	          1.656739972
IST-6.jpg    	         80.872305192
IST-30.jpg    	          1.599482374
IST-31.jpg    	          1.334479093
IST-32.jpg    	          1.420375186
IST-15.jpg    	         34.985603548
IST-16.jpg    	         20.543675433
IST-11.jpg    	         53.854985878
total 	8          92.116151597
thread_0 	7          82.731022431
thread_1 	3          91.960644491
thread_2 	2          90.606856816
thread_3 	5          81.782855408
thread_4 	7          82.891631619
thread_5 	1          82.228905373
thread_6 	2          83.094762104
thread_7 	5          82.311809167
