total 	16 	         45.376379512
thread_0 	1          31.625281970
thread_1 	1          31.742464276
thread_2 	1          31.380378358
thread_3 	1          40.328050923
thread_4 	1          31.645381571
thread_5 	1          32.205015299
thread_6 	1          31.569518867
thread_7 	1          31.808775979
thread_8 	1          32.479620415
thread_9 	1          31.248719851
thread_10 	0           0.000000100
thread_11 	0           0.000000100
thread_12 	0           0.000000200
thread_13 	0           0.000000200
thread_14 	0           0.000000200
thread_15 	0           0.000000100
