block_id,ocr_start_sec,ocr_end_sec,ocr_start_time,ocr_end_time,ocr_duration_sec,ocr_duration_min,window_id,speech_start_sec,speech_end_sec,speech_start_time,speech_end_time,speech_duration_sec,overlap_sec,overlap_ratio_of_ocr_block,overlap_ratio_of_speech_window,ocr_theme,ocr_themes_present,ocr_text,speech_theme,speech_themes_present,speech_candidates_present,speech_parties_present,speech_text,speech_source_segments,speech_transition_reason
2,33.0,66.0,00:33,01:06,33.0,0.55,1,60.0,90.0,01:00,01:30,30.0,6.0,0.18181818181818182,0.2,Other/Unknown,,acusam mp de fazer contas de merceeiro | tvi 19 54 | 19 54 | tvi | acusam mp de fazer contas de merceeirc | 1 865 | não dormir bem tem consequências graves | jornal nagonal,Other/Unknown,,,,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",1,
3,66.0,72.0,01:06,01:12,6.0,0.1,1,60.0,90.0,01:00,01:30,30.0,6.0,1.0,0.2,Other/Unknown,,tvi 19 55 | 19 55 | jornal nacional,Other/Unknown,,,,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",1,
4,72.0,75.0,01:12,01:15,3.0,0.05,1,60.0,90.0,01:00,01:30,30.0,3.0,1.0,0.1,Other/Unknown,,19 55,Other/Unknown,,,,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",1,
5,75.0,120.0,01:15,02:00,45.0,0.75,1,60.0,90.0,01:00,01:30,30.0,15.0,0.3333333333333333,0.5,Other/Unknown,,19 55 | a state of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the | showing | roubos de milhares em supermercados | jornal nacional | tvi | todas as imagens para ver mais à frente neste jornal | todas as imagens para ver mais à frente neste jorna,Other/Unknown,,,,"O objetivo é desmantelar uma organização criminosa, responsável pelo menos por 50 à salto de hipermercados, em diversos locais",1,
5,75.0,120.0,01:15,02:00,45.0,0.75,2,90.0,120.0,01:30,02:00,30.0,30.0,0.6666666666666666,1.0,Other/Unknown,,19 55 | a state of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the | showing | roubos de milhares em supermercados | jornal nacional | tvi | todas as imagens para ver mais à frente neste jornal | todas as imagens para ver mais à frente neste jorna,Other/Unknown,,,,do país. Os supeitos roubavam produtos de grandes especificis e depois vendiam-nos no mercado paralel. Chegavam levar para telelas inteiras como mostram as imagens de vídeo e a vigilância que tivemos acesso.,1,
6,120.0,204.0,02:00,03:24,84.0,1.4,3,120.0,150.0,02:00,02:30,30.0,30.0,0.35714285714285715,1.0,Other/Unknown,,0 754 | 19 56 | a segu | ozempic 0 5 mg | semaglutido | solução injetável em caneta pre cheja | uma vez por semana | via subcutânea,Justiça/Segurança,"Governo/Partidos, Justiça/Segurança",,,"Há um desenvolvimento surpreendente no processo de influência que levou à queda do Governo. O Ministério Público manteu durante cinco anos, escutas telefónicas envolvendo o António Costa sem as enviar ao Tribunal, a pesar de aler e obrigar",2,
6,120.0,204.0,02:00,03:24,84.0,1.4,4,150.0,180.0,02:30,03:00,30.0,30.0,0.35714285714285715,1.0,Other/Unknown,,0 754 | 19 56 | a segu | ozempic 0 5 mg | semaglutido | solução injetável em caneta pre cheja | uma vez por semana | via subcutânea,Justiça/Segurança,"Governo/Partidos, Justiça/Segurança",,,"a sua validação no práso máximo de 48 horas. As gravações incluem 22 conversas entre o então primeiro-ministro e três dos visados do operação em fluência. De acordo com o diário de notícias, as infeciações ocorreram entre 2020 e 2022, mas só foram entregues ao Supremo Tribunal de Justiça em outubro, o que faz com que possam vida ser consideradas prova proibida. A operação em fluência não investiga a ligada de escrimos de corrupção, tráfico de influência",2,
6,120.0,204.0,02:00,03:24,84.0,1.4,5,180.0,210.0,03:00,03:30,30.0,24.0,0.2857142857142857,0.8,Other/Unknown,,0 754 | 19 56 | a segu | ozempic 0 5 mg | semaglutido | solução injetável em caneta pre cheja | uma vez por semana | via subcutânea,Justiça/Segurança,"Governo/Partidos, Justiça/Segurança",,,"e pervaricação, relacionado com os projetos de letio hidrogênio e o data centre de cinas, o caso, como sabemos, levou à queda do Governo de António, o António Costa, que mais de dois anos depois não foi constituído para o guiido e continua sem ter acesso ao processo. A justiça está no topo da atualidade, José só que desvolta em forcer-se com a juiza da operação Marqueja. Depois de sosa","2, 3",
7,204.0,330.0,03:24,05:30,126.0,2.1,5,180.0,210.0,03:00,03:30,30.0,6.0,0.047619047619047616,0.2,Justiça/Segurança,"Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil, Governo/Partidos",19 57 | tvi sócrates ataca a juíza | sócrates ataca a juíza | jornal nacional | tvi 19 57 | antigo governante acusa susana seca de mentir | 19 58 | antigo governante acusa susana seca de mentip,Justiça/Segurança,"Governo/Partidos, Justiça/Segurança",,,"e pervaricação, relacionado com os projetos de letio hidrogênio e o data centre de cinas, o caso, como sabemos, levou à queda do Governo de António, o António Costa, que mais de dois anos depois não foi constituído para o guiido e continua sem ter acesso ao processo. A justiça está no topo da atualidade, José só que desvolta em forcer-se com a juiza da operação Marqueja. Depois de sosa","2, 3",
7,204.0,330.0,03:24,05:30,126.0,2.1,6,210.0,240.0,03:30,04:00,30.0,30.0,0.23809523809523808,1.0,Justiça/Segurança,"Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil, Governo/Partidos",19 57 | tvi sócrates ataca a juíza | sócrates ataca a juíza | jornal nacional | tvi 19 57 | antigo governante acusa susana seca de mentir | 19 58 | antigo governante acusa susana seca de mentip,Justiça/Segurança,"Governo/Partidos, Justiça/Segurança, Ambiente/Meteorologia/Proteção Civil",,,"na seca ter classificado a renúncia do advogado que sempre o defendeu, peda-se lile como uma manobra de elatoria para atrasar os ligamentos, o antigo PM Ministro escreveu-lo mais uma carta. Nela diz que foi o Estado e não ele queimar-se usou manobras de elatorias para o prejudicar. e resposta de José Sócrates, a João Sosa Naseca, que o acusou de manobras dilatorias por causa da renúncia do seu advogado. Numa carta enviada a","3, 4",
