total 	32 	         61.162228978
thread_0 	1          46.990298047
thread_1 	1          47.382283146
thread_2 	1          46.588525946
thread_3 	1          45.573262491
thread_4 	1          44.011083277
thread_5 	1          56.146929246
thread_6 	1          47.494671774
thread_7 	1          46.867456719
thread_8 	1          47.391690251
thread_9 	1          47.642328615
thread_10 	1          56.200048761
thread_11 	1          44.490216224
thread_12 	1          45.722225836
thread_13 	1          45.403290560
thread_14 	1          47.400923961
thread_15 	1          46.738332699
thread_16 	1           4.597641254
thread_17 	1           3.348511599
thread_18 	1           4.627751044
thread_19 	1           3.990315373
thread_20 	1           3.672178135
thread_21 	1           3.628338557
thread_22 	1           1.880345745
thread_23 	1           4.593951656
thread_24 	1           4.059105749
thread_25 	1           3.549256397
thread_26 	1           4.668774229
thread_27 	1           4.551245772
thread_28 	1           4.814917978
thread_29 	1           4.725235609
thread_30 	1           4.650190036
thread_31 	1           4.628662245
