block_id,speech_theme,speech_theme_support_sec,speech_theme_support_ratio,speech_total_overlap_sec,speech_coverage_ratio,n_speech_windows,speech_themes_present,speech_candidates_present,speech_parties_present,speech_source_segments,speech_text,speech_excerpt
1,Abertura/Manchetes,3.0,1.0,3.0,0.05,1,"Abertura/Manchetes, Eleições/Campanha",,,1,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os","Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os"
2,Abertura/Manchetes,6.0,1.0,6.0,1.0,1,"Abertura/Manchetes, Eleições/Campanha",,,1,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os","Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os"
3,Abertura/Manchetes,12.0,1.0,12.0,1.0,1,"Abertura/Manchetes, Eleições/Campanha",,,1,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os","Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os"
4,Abertura/Manchetes,3.0,1.0,3.0,1.0,1,"Abertura/Manchetes, Eleições/Campanha",,,1,"Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os","Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os"
5,Justiça/Segurança,90.0,0.5454545454545454,165.0,1.0,7,"Abertura/Manchetes, Eleições/Campanha, Justiça/Segurança",,,"1, 2, 3, 4","Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os dois candidatos à presidência da República vão discutir temas como o alé laboral a tapo aos poderes do presidente da República. O debate que vai ser neste estudo e começa a seguir ao telas de jornal vai ser mudado pelo Victor Gonçado. A Médicas Rupras 9 e 9 a.m. a o tico do Porto para ser presente à juíza de instrução criminal e responder pela prática de crimes cometidos, algadamente há muitos anos. A operação Avelix arrancou em 2020 com uma denúncia. Muito antes, já se receitava, os empicanho Portugal, para pessoas com diabetes tipo 2. A Indócronulgista graça Vargas começou a ser interrogada por sospeta de Múrla qualificado ao Serviço Nacional de Sude e falsidade informática. Traa os dados está de implementos três milhões para já saem em liberdade contra pagamento de caução de 1 milhão de euros a prestar em 30 dias. Fica ainda proibida de contatar com destemunhas, com o tente, não diabéticos, a quem tenha prescrito, com os demais erguidos. Fica também proibida de frequentar a clínica onde inserecia, se ausentar para os tranjeiros e se suspensa de praticar medicina. Graça Vargas passava receitas dosa-empique que custa por embalagem 16 euros e 85 centímetros. Cada cliente pagaria apenas cerca de 10 euros, ficando o restante valor a cargo do verário público. Segunda investigação, ela será recordista da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana.","Boa noite, primeiro debate das presidenciais na RTP. Esta noite, em ricovei, melis, um cotinho figurado, vão estar aqui frente a frente, logo a seguir ao telas de jornal. Os dois candidatos à presidência da República vão discutir temas como o alé laboral a tapo aos poderes do presidente da República. O debate que vai ser neste estudo e começa a seguir ao telas de jornal vai ser mudado pelo Victor Gonçado. A Médicas Rupras 9 e 9 a.m. a o tico do Porto para ser presente à juíza de instrução criminal e responder pela prática de crimes cometidos, algadamente há muitos anos. A operação Avelix arrancou em 2020 com uma denúncia. Muito antes, já se receitava, os empicanho Portugal, para pessoas com ..."
6,Other/Unknown,6.0,1.0,6.0,1.0,1,,,,4,"da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana.","da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana."
7,Saúde,33.0,0.6875,48.0,1.0,3,"Saúde, Justiça/Segurança",,,"4, 5","da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana. O tribunal decidiu ter uma identidade e residência para as duas mulheres suspeitas de inscrever em de forma illegal 10 mil imigrantes no serviço nacional de saúde. Além disso, as duas funcionárias de um centro de saúde de cortegassa, ovar, ficam suspenças de funções e prohibidas de se contactarem uma outra e também elementos de organização que está sendo investigada pela perjota. A Polícia Judicialia acredita que as duas mulheres estão envolvidas no esquema de legalização fraude lenta de imigrantes. Os imigrantes pagariam uma rede para ficar em legais, os dados seriam gerados e entregues a estas duas mulheres que no centro de saúde fariam a inscrição também em troca de dinheiro. Após isso, os imigrantes ficariam com um número de utente ou que permitem usufruir dos serviços","da prescrição deste medicamento em Portugal. É a RTP que se tira no farmácia, zoomedicamente continua ratiado, uma delas informou receber apenas uma embalagem de cada dosagem por semana. O tribunal decidiu ter uma identidade e residência para as duas mulheres suspeitas de inscrever em de forma illegal 10 mil imigrantes no serviço nacional de saúde. Além disso, as duas funcionárias de um centro de saúde de cortegassa, ovar, ficam suspenças de funções e prohibidas de se contactarem uma outra e também elementos de organização que está sendo investigada pela perjota. A Polícia Judicialia acredita que as duas mulheres estão envolvidas no esquema de legalização fraude lenta de imigrantes. Os imigr..."
8,Saúde,27.0,0.5625,48.0,1.0,2,"Saúde, Justiça/Segurança",,,"5, 6","organização que está sendo investigada pela perjota. A Polícia Judicialia acredita que as duas mulheres estão envolvidas no esquema de legalização fraude lenta de imigrantes. Os imigrantes pagariam uma rede para ficar em legais, os dados seriam gerados e entregues a estas duas mulheres que no centro de saúde fariam a inscrição também em troca de dinheiro. Após isso, os imigrantes ficariam com um número de utente ou que permitem usufruir dos serviços do SNS. Ataí legal já duraria há um animai. A Pejota de Teve, de 16 pessoas incluindo uma funcionária de um ministério dos negócios tranjeios. Constituiu, no total, 26 arguidos nesta operação Canberria. As funcionárias ficam em liberdade, mas vão ter de responder a vários cremos corrupção passiva, a suceção de auxílio à emigração ilegal e falsidade informática.","organização que está sendo investigada pela perjota. A Polícia Judicialia acredita que as duas mulheres estão envolvidas no esquema de legalização fraude lenta de imigrantes. Os imigrantes pagariam uma rede para ficar em legais, os dados seriam gerados e entregues a estas duas mulheres que no centro de saúde fariam a inscrição também em troca de dinheiro. Após isso, os imigrantes ficariam com um número de utente ou que permitem usufruir dos serviços do SNS. Ataí legal já duraria há um animai. A Pejota de Teve, de 16 pessoas incluindo uma funcionária de um ministério dos negócios tranjeios. Constituiu, no total, 26 arguidos nesta operação Canberria. As funcionárias ficam em liberdade, mas vão..."
9,Justiça/Segurança,9.0,1.0,9.0,1.0,1,"Saúde, Justiça/Segurança",,,"5, 6","do SNS. Ataí legal já duraria há um animai. A Pejota de Teve, de 16 pessoas incluindo uma funcionária de um ministério dos negócios tranjeios. Constituiu, no total, 26 arguidos nesta operação Canberria. As funcionárias ficam em liberdade, mas vão ter de responder a vários cremos corrupção passiva, a suceção de auxílio à emigração ilegal e falsidade informática.","do SNS. Ataí legal já duraria há um animai. A Pejota de Teve, de 16 pessoas incluindo uma funcionária de um ministério dos negócios tranjeios. Constituiu, no total, 26 arguidos nesta operação Canberria. As funcionárias ficam em liberdade, mas vão ter de responder a vários cremos corrupção passiva, a suceção de auxílio à emigração ilegal e falsidade informática."
10,Saúde,30.0,0.7142857142857143,42.0,1.0,2,"Saúde, Justiça/Segurança",,,"7, 8","Para a inscrição de medicamentos, pagamento de cirurgias ou a inscrição e de vida de imigrantes no SNS são muitas as irregularidades tetadas no Sector da Saúde, por isso governar um mês criou uma unidade combatar fraude, coordenada pela Polícia Judiciária. Mas ainda não está o pressionale, porque guarda a publicação entriu da República, ou a ordem dos médicos, assume que é preciso mais transparência. obviamente que a fiscalização é muito importante e pense que aquilo que está a ser feito, neste caso em concreto, pela Polícia Judiciária, a IGA também está, digamos, a fazer o seu trabalho em vários hospitais e eu acho que é muito importante nós temos transparência em todos esses processos e","Para a inscrição de medicamentos, pagamento de cirurgias ou a inscrição e de vida de imigrantes no SNS são muitas as irregularidades tetadas no Sector da Saúde, por isso governar um mês criou uma unidade combatar fraude, coordenada pela Polícia Judiciária. Mas ainda não está o pressionale, porque guarda a publicação entriu da República, ou a ordem dos médicos, assume que é preciso mais transparência. obviamente que a fiscalização é muito importante e pense que aquilo que está a ser feito, neste caso em concreto, pela Polícia Judiciária, a IGA também está, digamos, a fazer o seu trabalho em vários hospitais e eu acho que é muito importante nós temos transparência em todos esses processos e"
