total 	16 	         63.499231291
thread_0 	2          49.622122229
thread_1 	2          49.661214625
thread_2 	2          48.153787405
thread_3 	2          48.148930206
thread_4 	2          49.761931913
thread_5 	2          58.361658720
thread_6 	2          48.808819527
thread_7 	2          49.846678705
thread_8 	2          49.947723094
thread_9 	2          49.774044117
thread_10 	2          42.511732871
thread_11 	2          47.857149544
thread_12 	2          47.148476033
thread_13 	2          58.563760741
thread_14 	2          49.758008020
thread_15 	2          49.068340504
