total 	16 	         10.940728929
thread_0 	1           7.612632027
thread_1 	1           8.061385022
thread_2 	1           6.887122735
thread_3 	1           9.733651705
thread_4 	1           7.959656923
thread_5 	1           7.401531129
thread_6 	1           7.691176527
thread_7 	1           8.027304624
thread_8 	1           7.789431826
thread_9 	1           7.973543424
thread_10 	0           0.000000100
thread_11 	0           0.000000300
thread_12 	0           0.000000100
thread_13 	0           0.000000100
thread_14 	0           0.000000200
thread_15 	0           0.000000300
